date_generated,id,congress,chamber,rollnumber,date,keyvote,question,description,yea,nay,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-03-15 19:12:24,RS1150069,115,Senate,69,2017-02-16,,On the Cloture Motion,"Scott Pruitt, of Oklahoma, to be Administrator of the Environmental Protection Agency",54,46,,,,,,-0.053,-0.028,-0.679,-0.512,0.978,0.99,-2.58,0.975
2017-03-15 19:12:24,RS1150070,115,Senate,70,2017-02-17,,On the Motion,"Scott Pruitt, of Oklahoma, to be Administrator of the Environmental Protection Agency",47,51,,,,,,0.031,-0.14,0.676,-0.564,1.0,1.0,-0.143,0.999
2017-03-15 19:12:24,RS1150071,115,Senate,71,2017-02-17,,On the Nomination,"Scott Pruitt, of Oklahoma, to be Administrator of the Environmental Protection Agency",52,46,,,,,,-0.023,0.048,-0.545,-1.104,1.0,1.0,-1.849,0.981
2017-03-15 19:12:24,RS1150072,115,Senate,72,2017-02-17,,On the Cloture Motion,"Wilbur L. Ross, Jr., of Florida, to be Secretary of Commerce",66,31,,,,,,-0.228,-0.974,-0.35,-0.073,0.677,0.897,-20.939,0.806
2017-03-15 19:12:24,RS1150073,115,Senate,73,2017-02-27,,On the Nomination,"Wilbur L. Ross, Jr., of Florida, to be Secretary of Commerce",72,27,,,,,,-0.243,-0.97,-0.395,-0.152,0.815,0.949,-20.809,0.81
2017-03-15 19:12:24,RS1150074,115,Senate,74,2017-02-27,,On the Cloture Motion,"Ryan Zinke, of Montana, to be Secretary of the Interior",67,31,,,,,,-0.11,-0.534,-0.563,-1.099,0.742,0.918,-15.196,0.856
2017-03-15 19:12:24,RS1150075,115,Senate,75,2017-03-01,,On the Nomination,"Ryan Zinke, of Montana, to be Secretary of the Interior",68,31,,,,,,0.059,-0.998,-0.4,-0.821,0.71,0.909,-20.053,0.817
2017-03-15 19:12:24,RS1150076,115,Senate,76,2017-03-01,,On the Cloture Motion,"Benjamin S. Carson, Sr., of Florida, to be Secretary of Housing and Urban Development",62,37,,,,,,-0.178,0.984,-0.304,0.009,0.811,0.929,-21.478,0.805
2017-03-15 19:12:24,RS1150077,115,Senate,77,2017-03-02,,On the Nomination,"Benjamin S. Carson, Sr., of Florida, to be Secretary of Housing and Urban Development",58,41,,,,,,0.064,-0.998,-0.366,-0.436,0.878,0.949,-12.997,0.877
2017-03-15 19:12:24,RS1150078,115,Senate,78,2017-03-02,,On the Cloture Motion,"James Richard Perry, of Texas, to be Secretary of Energy",62,37,,,,,,0.143,-0.99,-0.608,-1.252,0.838,0.939,-15.71,0.853
2017-03-15 19:12:24,RS1150079,115,Senate,79,2017-03-02,,On the Nomination,"James Richard Perry, of Texas, to be Secretary of Energy",62,37,,,,,,0.059,-0.889,-0.575,-1.025,0.865,0.949,-13.308,0.874
2017-03-15 19:12:24,RS1150080,115,Senate,80,2017-03-02,,On the Motion to Proceed,"Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration relating to the Federal Acquisition Regulation.",51,46,,,,,,0.034,-0.13,-0.675,0.573,1.0,1.0,-0.146,0.998
2017-03-15 19:12:24,RS1150081,115,Senate,81,2017-03-06,,On the Joint Resolution,"Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration relating to the Federal Acquisition Regulation.",49,48,,,,,,0.034,-0.13,-0.675,0.573,1.0,1.0,-0.146,0.998
2017-03-15 19:12:24,RS1150082,115,Senate,82,2017-03-07,,On the Joint Resolution,"Disapproving the rule submitted by the Department of the Interior relating to Bureau of Land Management regulations that establish the procedures used to prepare, revise, or amend land use plans pursuant to the Federal Land Policy and Management Act of 176.",51,48,,,,,,0.034,-0.13,-0.675,0.573,1.0,1.0,-0.146,0.999
2017-03-15 19:12:24,RS1150083,115,Senate,83,2017-03-08,,On the Joint Resolution,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to teacher preparation issues.",59,40,,,,,,-0.194,0.056,-0.581,-0.985,0.975,0.99,-5.582,0.945
2017-03-15 19:12:24,RS1150084,115,Senate,84,2017-03-09,,On the Joint Resolution,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to accountability and State plans under the Elementary and Secondary Education Act of 1965.",50,49,,,,,,0.08,0.997,-0.376,-0.069,0.959,0.98,-5.331,0.948
2017-03-15 19:12:24,RS1150085,115,Senate,85,2017-03-09,,On the Nomination,"Seema Verma, of Indiana, to be Administrator of the Centers for Medicare and Medicaid Services",54,44,,,,,,-0.135,0.195,-0.693,-0.391,0.977,0.99,-4.147,0.959
2017-03-15 19:12:24,RS1150086,115,Senate,86,2017-03-13,,On the Nomination,"Seema Verma, of Indiana, to be Administrator of the Centers for Medicare and Medicaid Services",55,43,,,,,,-0.136,0.198,-0.693,-0.382,0.977,0.99,-4.102,0.959
2017-03-15 19:12:24,RS1150087,115,Senate,87,2017-03-14,,On the Joint Resolution,Disapproving the rule submitted by the Department of Labor relating to drug testing of unemployment compensation applicants.,51,48,,,,,,0.034,-0.128,-0.675,0.574,1.0,1.0,-0.146,0.999
2017-03-15 19:12:24,RS1150088,115,Senate,88,2017-03-15,,On the Cloture Motion,"Daniel Coats, of Indiana, to be Director of National Intelligence",88,11,,,,,,-0.582,0.208,-0.291,-0.413,0.636,0.96,-18.184,0.832
2017-03-15 19:12:24,RS1150089,115,Senate,89,2017-03-15,,On the Nomination,"Daniel Coats, of Indiana, to be Director of National Intelligence",85,12,,,,,,-0.558,0.59,-0.314,-0.21,0.5,0.938,-19.356,0.819
2017-03-15 19:12:24,RS1150090,115,Senate,90,2017-03-15,,On the Nomination,"Lt. Gen. Herbert R. McMaster, Jr., in the Army, to be Lieutenant General",86,10,,,,,,-0.323,-0.946,-0.236,-0.324,0.5,0.948,-17.73,0.831
